City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
vestmannaeyjar,63.4427,-20.2734,42.94,75,97,6.44,IS,1619757771
terrace,54.5163,-128.6035,46.4,100,90,13.8,CA,1619757733
ati,13.2154,18.3353,78.55,9,16,4.7,TD,1619757772
iqaluit,63.7506,-68.5145,33.8,93,90,4.61,CA,1619757772
oussouye,12.485,-16.5469,71.51,70,42,5.19,SN,1619757772
aklavik,68.2191,-135.0107,42.8,38,24,3.44,CA,1619757773
kloulklubed,7.0419,134.2556,86.0,74,75,9.22,PW,1619757773
petatlan,17.5167,-101.2667,76.55,84,100,2.86,MX,1619757773
baykit,61.67,96.37,42.71,67,98,11.9,RU,1619757774
domodedovo,55.4422,37.7583,50.0,57,0,6.71,RU,1619757774
abha,18.2164,42.5053,62.6,72,20,5.75,SA,1619757774
lompoc,34.6391,-120.4579,53.6,82,13,5.75,US,1619757775
mittersill,47.2667,12.4833,46.99,96,100,2.1,AT,1619757775
boffa,10.1667,-14.0333,74.68,81,93,4.36,GN,1619757775
falam,22.9167,93.6833,82.42,32,28,4.27,MM,1619757776
tura,25.5198,90.2201,97.75,20,7,6.78,IN,1619757776
beboto,8.2668,16.939,77.5,70,100,3.29,TD,1619757776
chuy,-33.6971,-53.4616,54.77,85,0,4.72,UY,1619757777
dwarka,22.2394,68.9678,85.23,60,62,8.43,IN,1619757777
naryan-mar,67.6713,53.087,31.32,76,94,10.54,RU,1619757777
margate,51.3813,1.3862,42.01,80,44,1.01,GB,1619757778
esperance,-33.8667,121.9,59.0,72,75,24.16,AU,1619757778
muriwai beach,-36.8167,174.45,63.0,84,28,4.0,NZ,1619757778
saveh,35.0213,50.3566,73.15,26,0,6.46,IR,1619757779
constitucion,-35.3333,-72.4167,53.92,91,65,2.28,CL,1619757549
rantepao,-2.9701,119.8978,83.44,59,64,5.06,ID,1619757779
henties bay,-22.116,14.2845,57.99,87,2,4.65,NA,1619757779
dalton,34.7698,-84.9702,68.0,89,90,5.95,US,1619757780
evanston,42.0411,-87.6901,57.2,58,20,12.66,US,1619757780
san nicolas,18.1725,120.5953,86.0,66,40,8.05,PH,1619757780
makambako,-8.8453,34.823,59.74,85,100,7.38,TZ,1619757781
ituacu,-13.8133,-41.2967,67.28,93,16,2.1,BR,1619757781
hay river,60.8156,-115.7999,41.0,38,99,9.22,CA,1619757781
alyangula,-13.8483,136.4192,87.8,62,40,8.05,AU,1619757782
bahia honda,22.9036,-83.1592,75.4,84,2,2.93,CU,1619757502
amga,60.8953,131.9608,40.32,91,99,5.7,RU,1619757782
wanning,18.8003,110.3967,81.25,75,69,5.5,CN,1619757783
nuuk,64.1835,-51.7216,28.4,100,90,4.61,GL,1619757783
oranjemund,-28.55,16.4333,52.56,88,1,9.26,NA,1619757783
nichinan,31.6,131.3667,78.8,47,20,26.46,JP,1619757784
faya,18.3851,42.4509,62.6,72,20,5.75,SA,1619757784
bichura,50.5881,107.6022,47.25,34,88,4.79,RU,1619757785
bergama,39.1207,27.1805,62.6,72,0,1.14,TR,1619757785
kahului,20.8947,-156.47,77.0,83,40,12.66,US,1619757785
mujiayingzi,42.1167,118.7833,53.29,11,96,6.78,CN,1619757786
shakawe,-18.3667,21.85,63.0,68,13,3.96,BW,1619757786
porto nacional,-10.7081,-48.4172,73.4,100,40,4.61,BR,1619757786
kousseri,12.0769,15.0306,77.0,20,62,4.61,CM,1619757787
waitati,-45.75,170.5667,57.0,59,89,14.0,NZ,1619757787
humboldt,40.6665,-123.9178,48.99,87,1,2.19,US,1619757788
vuktyl,63.8567,57.3094,36.79,42,66,4.09,RU,1619757788
tenenkou,14.4572,-4.9169,91.2,25,90,7.18,ML,1619757788
iwaki,37.05,140.8833,63.0,59,20,16.11,JP,1619757789
ust-barguzin,53.45,108.9833,38.37,60,9,2.91,RU,1619757789
goure,13.9835,10.2704,76.1,10,50,6.13,NE,1619757789
camacha,33.0833,-16.3333,57.2,72,40,20.71,PT,1619757790
aban,56.67,96.06,46.51,73,100,10.74,RU,1619757790
ascension,30.2169,-90.9001,78.8,83,40,5.75,US,1619757790
raudeberg,61.9875,5.1352,39.99,76,17,15.93,NO,1619757791
stephenville,32.2207,-98.2023,62.6,94,90,11.5,US,1619757791
ashland,40.8167,-82.2665,51.8,87,20,10.36,US,1619757791
biltine,14.5333,20.9167,80.13,10,22,7.49,TD,1619757792
ust-maya,60.4167,134.5333,45.84,75,99,3.98,RU,1619757792
carroll,39.5501,-77.0164,66.99,89,99,5.01,US,1619757660
wick,58.4333,-3.0833,35.6,93,94,4.61,GB,1619757793
lincoln,40.8,-96.667,55.4,47,1,3.44,US,1619757318
hasaki,35.7333,140.8333,79.0,64,20,12.66,JP,1619757550
denpasar,-8.65,115.2167,86.0,74,20,14.97,ID,1619757793
ichinohe,40.2069,141.3017,53.6,71,75,19.57,JP,1619757554
rochefort,45.9167,-1.0,48.99,76,0,8.05,FR,1619757794
opuwo,-18.0607,13.84,62.69,56,60,3.38,NA,1619757794
acapulco,16.8634,-99.8901,78.13,81,57,4.34,MX,1619757794
ipixuna,-1.7625,-48.8043,75.2,100,75,1.14,BR,1619757795
egvekinot,66.3167,-179.1667,24.03,84,52,2.08,RU,1619757795
willowmore,-33.2926,23.4895,46.56,81,29,3.91,ZA,1619757795
baft,29.234,56.6057,65.05,31,90,7.2,IR,1619757796
sancraiu,46.8333,22.9833,50.0,100,40,5.75,RO,1619757796
nemuro,43.3236,145.575,42.8,100,75,24.16,JP,1619757796
severo-kurilsk,50.6789,156.125,40.39,76,22,11.14,RU,1619757793
jatai,-17.8814,-51.7144,62.2,43,100,3.62,BR,1619757698
hammerfest,70.6634,23.6821,24.8,74,75,11.5,NO,1619757797
talnakh,69.4865,88.3972,31.95,90,49,1.81,RU,1619757797
alofi,-19.0595,-169.9187,84.2,79,61,2.3,NU,1619757798
passo de camaragibe,-9.2368,-35.4901,73.4,94,0,77.11,BR,1619757798
panzhihua,26.5851,101.7128,88.16,25,66,2.15,CN,1619757798
codrington,-38.2667,141.9667,74.8,34,0,10.33,AU,1619757799
toyooka,35.5333,134.8333,59.0,72,75,9.22,JP,1619757799
pitiquito,30.7,-112.0833,69.01,25,0,8.77,MX,1619757586
burnie,-41.0667,145.9167,59.0,72,37,5.99,AU,1619757799
aguimes,27.9054,-15.4461,64.0,82,20,2.3,ES,1619757800
luoyang,34.6836,112.4536,86.07,20,0,24.87,CN,1619757800
konstancin-jeziorna,52.0938,21.1176,53.01,87,0,8.05,PL,1619757800
pau dos ferros,-6.1125,-38.2063,73.13,90,100,3.56,BR,1619757801
saint-francois,46.4154,3.9054,46.99,100,90,5.75,FR,1619757801
kushmurun,52.4503,64.6311,54.34,41,0,11.1,KZ,1619757802
awbari,26.5921,12.7805,79.92,19,98,3.83,LY,1619757802
najran,17.4924,44.1277,71.6,64,75,4.61,SA,1619757729
progreso,21.2833,-89.6667,84.2,54,40,19.57,MX,1619757803
tuy hoa,13.0833,109.3,86.14,63,72,9.15,VN,1619757803
namatanai,-3.6667,152.4333,85.98,62,83,4.27,PG,1619757803
bambous virieux,-20.3428,57.7575,80.01,83,40,12.66,MU,1619757797
wunsiedel,50.0333,12.0167,35.01,86,40,4.45,DE,1619757804
chunskiy,56.0815,99.6342,42.19,79,100,12.35,RU,1619757790
san andres,12.5847,-81.7006,80.6,74,40,5.75,CO,1619757610
shieli,44.1667,66.75,66.49,55,100,10.87,KZ,1619757804
arlit,18.7369,7.3853,82.99,9,1,5.44,NE,1619757805
west odessa,31.8424,-102.4988,55.4,94,90,8.05,US,1619757805
namibe,-15.1961,12.1522,73.31,79,86,2.84,AO,1619757779
pevek,69.7008,170.3133,21.83,84,100,10.25,RU,1619757806
romitan,39.9343,64.3814,73.4,43,0,13.8,UZ,1619757806
sangar,63.9242,127.4739,36.61,85,63,3.0,RU,1619757806
tutoia,-2.7619,-42.2744,75.94,90,100,8.21,BR,1619757807
amapa,1.0,-52.0,69.87,99,99,1.43,BR,1619757807
araouane,18.9048,-3.5265,89.92,27,96,19.04,ML,1619757807
gao,16.6362,1.637,84.51,12,2,6.02,ML,1619757808
calahorra,42.3051,-1.9652,44.6,100,20,5.75,ES,1619757808
santa barbara,34.7333,-120.0343,68.0,71,1,5.75,US,1619757615
jiexiu,37.0244,111.9125,70.0,16,6,25.08,CN,1619757809
ginir,7.1333,40.7,61.2,83,98,2.48,ET,1619757809
atherton,53.5237,-2.4935,37.0,85,30,2.46,GB,1619757809
port macquarie,-31.4333,152.9167,72.0,66,6,3.0,AU,1619757810
payo,-3.7508,103.6372,82.9,82,99,2.28,ID,1619757810
paita,-5.0892,-81.1144,69.26,80,22,8.5,PE,1619757810
ndele,8.4109,20.6473,75.0,76,99,3.71,CF,1619757811
manado,1.487,124.8455,82.4,83,40,4.61,ID,1619757811
maceio,-9.6658,-35.7353,73.4,94,0,77.11,BR,1619757650
nha trang,12.25,109.1833,89.6,58,20,8.05,VN,1619757607
chiang klang,19.2938,100.8617,80.6,78,75,3.44,TH,1619757812
mwanza,-2.5167,32.9,68.32,84,87,5.97,TZ,1619757812
brae,60.3964,-1.353,37.4,87,73,8.05,GB,1619757812
hare bay,48.8499,-54.0148,41.0,87,100,9.22,CA,1619757813
marystown,47.1666,-55.1483,35.85,91,14,4.29,CA,1619757813
kampot,10.6167,104.1833,87.8,79,40,6.91,KH,1619757813
kawalu,-7.3817,108.2082,87.87,54,86,3.76,ID,1619757814
san cristobal,7.7669,-72.225,66.06,99,100,1.54,VE,1619757814
kaitangata,-46.2817,169.8464,53.01,58,36,8.01,NZ,1619757804
miramar,25.9873,-80.2323,79.0,78,1,4.61,US,1619757815
chifeng,42.2683,118.9636,54.64,10,100,4.59,CN,1619757815
itarema,-2.9248,-39.9167,75.4,88,100,6.76,BR,1619757815
santa cruz,-17.8,-63.1667,62.6,77,1,4.61,BO,1619757816
pizarro,4.9533,-77.366,75.16,90,95,2.95,CO,1619757816
sanmenxia,34.7747,111.1814,85.82,21,22,25.43,CN,1619757816
kibara,-2.15,33.45,69.55,77,83,8.9,TZ,1619757817
walvis bay,-22.9575,14.5053,48.2,93,0,6.91,NA,1619757817
aksarka,66.5606,67.7975,27.32,89,100,9.62,RU,1619757782
tamworth,52.634,-1.6959,37.99,91,56,1.01,GB,1619757817
hailar,49.2,119.7,44.83,29,100,7.65,CN,1619757780
sao paulo de olivenca,-3.3783,-68.8725,71.73,99,100,1.39,BR,1619757818
the valley,18.217,-63.0578,79.0,73,20,9.22,AI,1619757818
tucuman,-26.8241,-65.2226,59.0,88,0,5.75,AR,1619757555
taltal,-25.4,-70.4833,61.32,87,7,1.21,CL,1619757819
touros,-5.1989,-35.4608,73.4,100,40,4.61,BR,1619757819
labuhan,-6.8844,112.2051,86.61,64,57,6.51,ID,1619757819
yichang,30.7144,111.2847,91.18,32,56,6.69,CN,1619757820
varkkallai,8.7341,76.7067,89.6,70,20,6.91,IN,1619757820
russell,32.3502,-85.1999,71.6,88,75,4.9,US,1619757820
hambantota,6.1241,81.1185,86.0,84,75,3.44,LK,1619757812
treinta y tres,-33.2333,-54.3833,51.8,85,0,4.29,UY,1619757821
santa cruz del norte,23.1539,-81.9236,75.2,64,75,2.3,CU,1619757821
lahti,59.9911,30.1597,39.99,69,0,2.24,RU,1619757821
san clemente,33.427,-117.612,66.0,58,0,2.3,US,1619757822
chukhloma,58.7525,42.6825,40.37,72,96,7.4,RU,1619757822
tadine,-21.55,167.8833,75.97,58,63,16.55,NC,1619757822
safaga,26.7292,33.9365,75.2,22,0,6.91,EG,1619757805
lakatoro,-16.0999,167.4164,81.32,69,67,14.94,VU,1619757823
gari,59.4307,62.3497,41.58,42,11,16.11,RU,1619757823
xinyang,32.1228,114.0656,86.94,39,2,15.68,CN,1619757824
haines junction,60.7522,-137.5108,41.0,70,100,6.91,CA,1619757824
vaasa,63.096,21.6158,36.0,80,0,3.44,FI,1619757824
kuantan,3.8077,103.326,87.8,70,20,1.14,MY,1619757825
prince rupert,54.3161,-130.3201,48.2,100,90,3.44,CA,1619757825
antalaha,-14.9003,50.2788,79.86,75,26,6.87,MG,1619757825
high level,58.5169,-117.136,42.8,81,90,10.36,CA,1619757826
orlik,52.5178,99.825,41.2,53,100,3.36,RU,1619757826
phalodi,27.1333,72.3667,98.82,17,57,5.82,IN,1619757826
jackson,42.4165,-122.8345,73.4,16,1,9.22,US,1619757827
surgut,61.25,73.4167,37.4,100,75,11.18,RU,1619757827
mendi,-6.1761,143.6513,63.73,82,63,4.79,PG,1619757828
baie-saint-paul,47.4411,-70.4986,46.99,57,100,5.75,CA,1619757828
chala,-7.5833,31.2667,58.73,93,100,3.65,TZ,1619757828
port hardy,50.6996,-127.4199,50.0,100,90,2.3,CA,1619757828
pontes e lacerda,-15.2261,-59.3353,65.32,72,100,2.59,BR,1619757704
mahibadhoo,3.7833,72.9667,83.32,69,7,3.58,MV,1619757784
grand gaube,-20.0064,57.6608,80.01,82,16,5.99,MU,1619757843
mecca,21.4267,39.8261,93.33,21,63,9.26,SA,1619757899
bonoua,5.2741,-3.595,80.6,94,20,1.14,CI,1619757906
doha,25.2867,51.5333,87.01,28,0,9.22,QA,1619757664
lagoa,39.05,-27.9833,56.35,62,100,5.17,PT,1619757907
hargeysa,9.56,44.065,69.96,75,100,7.2,SO,1619757907
sao felix do xingu,-6.6447,-51.995,70.12,98,80,1.21,BR,1619757908
daura,11.5538,11.4085,75.97,13,44,4.59,NG,1619757908
clarence town,-32.5833,151.7833,73.0,68,40,11.5,AU,1619757908
kieta,-6.2167,155.6333,81.73,79,41,1.83,PG,1619757909
plettenberg bay,-34.0527,23.3716,58.8,81,98,6.15,ZA,1619757909
north bend,43.4065,-124.2243,51.8,87,1,3.44,US,1619757910
mana,5.6592,-53.7767,75.67,92,100,6.73,GF,1619757910
sinnamary,5.3833,-52.95,76.87,87,100,7.31,GF,1619757910
erenhot,43.6475,111.9767,50.34,12,26,18.97,CN,1619757911
valley city,46.9233,-98.0032,41.0,38,1,11.5,US,1619757911
lasa,46.6166,10.7002,53.01,93,75,3.44,IT,1619757877
karpathos,35.507,27.2132,64.4,88,5,5.75,GR,1619757911
horsham,51.064,-0.3272,37.0,93,0,1.14,GB,1619757772
tuytepa,41.0321,69.3625,75.2,41,0,6.91,UZ,1619757912
hami,42.8,93.45,83.59,9,2,6.06,CN,1619757912
lianzhou,24.7811,112.3825,84.81,44,62,3.2,CN,1619757913
abu zabad,12.35,29.25,81.23,43,95,6.42,SD,1619757913
lumut,4.2323,100.6298,89.6,70,20,4.61,MY,1619757913
luancheng,37.8792,114.6517,60.8,44,0,8.95,CN,1619757809
muyezerskiy,63.9333,31.65,32.59,65,100,9.19,RU,1619757914
hualmay,-11.0964,-77.6139,65.84,90,0,8.21,PE,1619757822
pontalina,-17.525,-49.4472,65.16,47,99,3.6,BR,1619757915
washington,47.5001,-120.5015,69.8,23,1,10.36,US,1619757869
malatya,38.5,38.0,60.8,72,75,3.44,TR,1619757915
severnyy,50.677,36.5532,50.0,53,0,8.95,RU,1619757916
uray,60.1247,64.7758,40.59,56,80,15.66,RU,1619757916
aswan,24.0934,32.907,87.17,11,1,9.04,EG,1619757916
taber,49.8167,-112.1518,62.6,39,90,11.5,CA,1619757917
aleksandrov gay,50.147,48.5704,54.46,42,11,1.5,RU,1619757917
luganville,-15.5333,167.1667,81.28,67,63,10.78,VU,1619757917
muros,42.7762,-9.0603,42.01,95,8,7.83,ES,1619757897
gondar,12.6,37.4667,66.4,51,98,5.32,ET,1619757918
qasigiannguit,68.8193,-51.1922,30.2,80,96,4.29,GL,1619757918
sepuka,-4.75,34.5333,64.06,83,73,9.86,TZ,1619757919
barra do corda,-5.5,-45.25,71.2,97,91,2.62,BR,1619757919
mehamn,71.0357,27.8492,28.4,69,75,25.32,NO,1619757919
macomb,40.4592,-90.6718,51.8,71,1,10.36,US,1619757901
sarkand,45.41,79.9186,84.43,16,3,9.84,KZ,1619757920
olafsvik,64.8945,-23.7142,39.79,77,72,5.68,IS,1619757825
maragogi,-9.0122,-35.2225,76.21,86,82,7.72,BR,1619757920
ouallam,14.3188,2.0866,86.29,24,3,7.25,NE,1619757921
half moon bay,37.4636,-122.4286,57.99,51,1,8.05,US,1619757921
rochelle,46.25,-1.0,48.2,76,0,8.05,FR,1619757921
seoul,37.5683,126.9778,57.2,67,75,2.3,KR,1619757922
susner,23.95,76.0833,99.25,13,21,12.68,IN,1619757922
bonthe,7.5264,-12.505,80.02,79,68,4.16,SL,1619757922
lixourion,38.2019,20.4314,64.99,64,2,6.69,GR,1619757923
abu samrah,35.3029,37.1841,75.13,31,9,5.91,SY,1619757923
monticello,45.3055,-93.7941,57.2,47,1,6.91,US,1619757923
ponta grossa,-25.095,-50.1619,48.6,96,7,5.68,BR,1619757924
khorixas,-20.3667,14.9667,62.89,45,1,3.62,NA,1619757924
marang,5.2056,103.2059,89.6,66,40,5.75,MY,1619757924
sobolevo,54.4299,31.8996,46.9,91,100,17.4,RU,1619757925
mahajanga,-15.7167,46.3167,77.0,78,20,5.75,MG,1619757925
haslev,55.3235,11.9639,45.0,81,20,8.05,DK,1619757925
lebedyn,50.5852,34.4849,52.21,78,100,11.27,UA,1619757925
tigil,57.8,158.6667,43.45,79,34,6.42,RU,1619757926
tambopata,-12.7333,-69.1833,61.23,89,0,1.43,PE,1619757926
merauke,-8.4667,140.3333,82.04,74,77,10.98,ID,1619757926
sibolga,1.7427,98.7792,83.77,70,100,2.57,ID,1619757927
gushikawa,26.3544,127.8686,75.2,73,40,10.36,JP,1619757927
svetlogorsk,52.6333,29.7333,52.0,85,94,13.56,BY,1619757928
kushiro,42.975,144.3747,41.0,87,75,26.46,JP,1619757928
saint-augustin,51.226,-58.6502,39.04,86,100,5.12,CA,1619757802
fare,-16.7,-151.0167,81.32,71,97,1.68,PF,1619757928
bambanglipuro,-7.95,110.2833,84.27,70,85,8.23,ID,1619757822
kumta,14.4167,74.4,90.45,58,4,4.94,IN,1619757929
dores do indaia,-19.4633,-45.6017,62.56,78,100,4.9,BR,1619757929
genhe,50.7833,121.5167,38.37,86,100,0.92,CN,1619757908
smithers,54.7804,-127.1743,50.0,66,90,16.11,CA,1619757903
amarwara,22.3,79.1667,96.66,8,3,3.76,IN,1619757930
kagadi,0.9606,30.7967,66.33,83,100,1.72,UG,1619757930
tiverton,50.9,-3.4833,32.0,93,70,4.0,GB,1619757931
sochi,43.6,39.7303,60.8,67,41,3.76,RU,1619757931
turayf,31.6725,38.6637,71.6,37,0,9.22,SA,1619757889
marawi,7.9986,124.2928,84.99,79,79,8.01,PH,1619757931
zhongshu,24.5167,103.7667,77.14,41,100,8.9,CN,1619757932
yulara,-25.2406,130.9889,78.8,15,33,5.75,AU,1619757932
anadyr,64.75,177.4833,26.6,74,0,11.18,RU,1619757932
alto araguaia,-17.3147,-53.2153,64.94,42,100,5.57,BR,1619757933
axim,4.8699,-2.2405,79.5,81,98,1.52,GH,1619757933
tazovskiy,67.4667,78.7,30.85,91,98,9.89,RU,1619757933
alpena,45.0617,-83.4327,46.99,87,90,13.8,US,1619757934
dasoguz,41.8363,59.9666,60.8,72,0,18.41,TM,1619757934
victoria point,-27.5833,153.3,68.0,88,82,1.99,AU,1619757934
raahe,64.6833,24.4833,33.01,100,20,6.91,FI,1619757935
galdar,28.147,-15.6502,63.0,82,20,2.3,ES,1619757935
gore,-46.1028,168.9436,53.01,72,39,10.0,NZ,1619757935
caramay,10.1815,119.236,85.57,61,17,9.37,PH,1619757936
